iter	Passed	Remaining
882	1825	241
883	1827	239
884	1828	237
885	1830	235
886	1831	233
887	1833	231
888	1835	229
889	1838	227
890	1840	225
891	1841	222
892	1842	220
893	1844	218
894	1847	216
895	1851	214
896	1853	212
897	1855	210
898	1856	208
899	1858	206
900	1859	204
901	1861	202
902	1863	200
903	1866	198
904	1869	196
905	1870	194
906	1872	191
907	1873	189
908	1875	187
909	1876	185
910	1879	183
911	1881	181
912	1884	179
913	1885	177
914	1886	175
915	1887	173
916	1890	171
917	1930	172
918	1933	170
919	1935	168
920	1936	166
921	1945	164
922	1948	162
923	1949	160
924	1952	158
925	1961	156
926	1963	154
927	1966	152
928	1969	150
929	1978	148
930	1980	146
931	1982	144
932	1983	142
933	1985	140
934	1989	138
935	1991	136
936	1993	134
937	1995	131
938	1996	129
939	1997	127
940	1999	125
941	2000	123
942	2003	121
943	2005	118
944	2010	117
945	2012	114
946	2020	113
947	2022	110
948	2024	108
949	2026	106
950	2027	104
951	2029	102
952	2031	100
953	2034	98
954	2036	95
955	2037	93
956	2038	91
957	2040	89
958	2041	87
959	2043	85
960	2044	82
961	2046	80
962	2049	78
963	2050	76
964	2052	74
965	2053	72
966	2054	70
967	2056	67
968	2057	65
969	2059	63
970	2060	61
971	2062	59
972	2064	57
973	2066	55
974	2068	53
975	2069	50
976	2071	48
977	2073	46
978	2074	44
979	2077	42
980	2079	40
981	2080	38
982	2082	36
983	2083	33
984	2084	31
985	2086	29
986	2087	27
987	2089	25
988	2091	23
989	2093	21
990	2097	19
991	2099	16
992	2100	14
993	2101	12
994	2103	10
995	2104	8
996	2106	6
997	2109	4
998	2110	2
999	2112	0
